                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.57239,                0.78895,                 0.1738,                0.32518,                0.82301,                0.94793,                0.75899,                0.83063,                0.71744,                0.94915,                0.75263,                0.82164,                0.71848,                0.73125,                0.95845,                0.22029,                 1.3837,                0.90651,               0.007921,               0.007921,               0.007921
                     24,                 0.5706,                0.77643,                0.17199,                0.32438,                0.82277,                0.95853,                0.75768,                0.82957,                0.71705,                0.95636,                0.75256,                0.82088,                0.71865,                0.73077,                0.95504,                0.22022,                 1.3691,                 0.9065,               0.007822,               0.007822,               0.007822
                     25,                0.56898,                0.76564,                0.17029,                0.32279,                0.82217,                0.95298,                0.75632,                0.82794,                0.71608,                0.95505,                0.75005,                0.81912,                0.71789,                0.72934,                0.95098,                0.21983,                  1.392,                0.90503,               0.007723,               0.007723,               0.007723
                     26,                0.56617,                0.76283,                0.16934,                0.32056,                 0.8216,                0.94661,                0.75647,                 0.8273,                0.71597,                0.95016,                0.74992,                0.81834,                0.71798,                0.72835,                0.94564,                0.21921,                 1.4193,                0.90396,               0.007624,               0.007624,               0.007624
                     27,                 0.5642,                0.75026,                0.16809,                0.31984,                0.82092,                0.95209,                0.75405,                0.82722,                0.71612,                0.95644,                0.74799,                0.81868,                 0.7185,                0.72731,                0.94014,                0.21874,                 1.4361,                0.90285,               0.007525,               0.007525,               0.007525
                     28,                0.56115,                0.74287,                0.16712,                0.31828,                0.82054,                0.95762,                0.75269,                0.82766,                0.71655,                0.96201,                0.74677,                 0.8191,                0.71957,                0.72717,                0.93673,                0.21825,                 1.4381,                0.90307,               0.007426,               0.007426,               0.007426
                     29,                0.55575,                0.73677,                0.16685,                0.31618,                0.81971,                0.95907,                0.75301,                0.82826,                0.71709,                0.96313,                0.74707,                0.81947,                0.72037,                0.72674,                0.93256,                0.21778,                 1.4457,                0.90282,               0.007327,               0.007327,               0.007327
                     30,                0.55076,                0.72757,                0.16596,                0.31401,                 0.8188,                0.95923,                0.75224,                0.82823,                 0.7174,                0.96484,                0.74623,                0.81987,                0.72108,                0.72484,                0.92722,                0.21705,                 1.4452,                0.90113,               0.007228,               0.007228,               0.007228
                     31,                0.54575,                0.71464,                0.16483,                0.31202,                0.81819,                0.95991,                0.75497,                0.83012,                0.71886,                0.95969,                0.75006,                0.82168,                0.72258,                0.72398,                0.92196,                 0.2162,                 1.4258,                 0.9008,               0.007129,               0.007129,               0.007129
                     32,                0.54118,                 0.7073,                0.16363,                0.31008,                0.81781,                0.95287,                0.75738,                0.83119,                0.72018,                0.95688,                0.75167,                0.82289,                0.72359,                0.72312,                0.91918,                0.21564,                 1.4194,                0.90045,                0.00703,                0.00703,                0.00703
                     33,                0.53627,                 0.6979,                0.16252,                0.30811,                0.81677,                0.94956,                0.75878,                0.83268,                 0.7214,                0.95388,                0.75304,                0.82463,                0.72499,                0.72269,                0.91445,                 0.2149,                 1.4102,                0.90089,               0.006931,               0.006931,               0.006931
                     34,                0.53383,                 0.6969,                 0.1627,                0.30705,                0.81614,                0.94614,                0.76063,                0.83364,                0.72219,                0.95003,                0.75516,                0.82562,                0.72576,                0.72306,                0.91151,                0.21448,                 1.4159,                0.90224,               0.006832,               0.006832,               0.006832
                     35,                0.52898,                 0.6855,                 0.1615,                0.30442,                0.81533,                0.94758,                0.76401,                0.83554,                0.72387,                0.95055,                0.75838,                0.82756,                0.72767,                0.72293,                0.90562,                0.21387,                 1.4086,                0.90335,               0.006733,               0.006733,               0.006733
                     36,                0.52559,                0.68252,                0.16055,                0.30347,                0.81477,                 0.9524,                0.76734,                0.83801,                0.72581,                0.95428,                0.76208,                0.83004,                0.72942,                0.72317,                0.90342,                0.21358,                 1.3945,                 0.9049,               0.006634,               0.006634,               0.006634
                     37,                 0.5247,                0.67881,                0.16043,                0.30296,                0.81506,                0.96502,                0.77297,                0.84122,                0.72792,                0.96307,                0.76844,                0.83346,                0.73191,                0.72388,                0.90036,                0.21342,                 1.3656,                0.90675,               0.006535,               0.006535,               0.006535
                     38,                0.52268,                 0.6737,                0.16043,                0.30208,                0.81439,                0.97255,                0.77881,                0.84397,                0.72982,                0.97139,                0.77315,                0.83631,                0.73412,                 0.7245,                0.89435,                0.21286,                 1.3314,                0.90811,               0.006436,               0.006436,               0.006436
                     39,                0.51922,                0.66382,                0.15875,                0.30038,                0.81434,                0.97492,                0.78465,                0.84626,                0.73143,                0.97131,                0.77965,                0.83851,                0.73555,                0.72521,                0.89092,                0.21279,                 1.2955,                0.90981,               0.006337,               0.006337,               0.006337
                     40,                0.51749,                0.65806,                0.15795,                0.29954,                0.81368,                0.97307,                0.79399,                0.84913,                 0.7335,                0.97003,                0.78839,                0.84156,                0.73743,                0.72539,                0.88687,                 0.2124,                 1.2564,                0.91092,               0.006238,               0.006238,               0.006238
